id,title,category,text
req_services,Assignment requires three services,requirements,"The chat system must include at least three services. One service uses a public API backend and rewrites the API output instead of returning raw JSON. One service answers questions through semantic search or a hybrid retrieval approach. The third service is open-ended but must use function calling, web search, or an MCP server connection."
api_weather,API service design,api_service,"This project implements the API requirement with Open-Meteo. The WeatherService geocodes a city, calls the forecast API for current temperature, humidity, weather code, and wind speed, then converts the structured response into a short natural-language weather update."
semantic_chroma,Semantic search with ChromaDB persistence,semantic_search,"The KnowledgeBaseService loads a small CSV knowledge base and stores vectors in a ChromaDB PersistentClient under data/chroma_db. It uses included precomputed local embeddings for the documents, embeds the user query with the same deterministic vectorizer, and returns the most relevant notes with a short synthesis."
embedding_process,Embedding process,semantic_search,"Document embeddings are produced by a deterministic local semantic hash vectorizer in services/semantic_search.py. The vectors are precomputed into data/precomputed_embeddings.json so graders do not need to run a separate embedding-generation job. If the CSV changes, scripts/build_semantic_index.py can rebuild both the JSON vectors and the Chroma persistent collection."
function_calling_service,Function-calling planner service,function_calling,"The PlannerService satisfies the third service requirement. When OPENAI_API_KEY is configured, it gives the model a build_assignment_plan function schema, forces a tool call, executes the local Python function, and asks the model to present the result as a practical markdown plan. A local fallback keeps demos usable without an API key."
gradio_interface,Gradio chat interface,gradio_ui,"The user interface is built with Gradio Blocks. It includes a Chatbot, Textbox, Send button, Clear button, examples, and a Show compacted memory button. Slash commands /weather, /kb, and /plan make it easy to demonstrate each required service."
persona_lumi,Lumi personality,personality,"The chat client persona is Lumi, a friendly campus-lab teaching assistant with a concise, pragmatic, librarian-like tone. Lumi focuses on helping users test, debug, and submit a small AI deployment assignment without becoming an expansive project."
memory_management,Conversation memory,memory,Memory is maintained with Gradio session state. The MemoryManager stores recent user and assistant turns and compacts older turns into a short summary when the conversation grows. The memory summary is used only for continuity and does not contain hidden system instructions.
guardrails_prompt,Prompt guardrails,guardrails,"Guardrails run before any model or service call. They block attempts to reveal, print, dump, modify, replace, or ignore the system prompt or hidden instructions. The refusal explains that Lumi can discuss visible project design but cannot reveal or change hidden instructions."
guardrails_restricted,Restricted topics,guardrails,"The assignment forbids responses on cats, dogs, horoscopes or Zodiac signs, and Taylor Swift. The guardrail layer uses regular expressions to catch English and some Chinese variants of those topics before any LLM call occurs."
readme_contents,README expectations,submission,"The README should explain Lumi's personality, each of the three services, guardrail decisions, memory behavior, embedding process, setup instructions, how to run the Gradio app, example prompts, and how to run tests."
submission_branch,Submission branch and PR,submission,The repository branch should be named assignment-2. Submit project files through a pull request link shaped like https://github.com/<your_github_username>/deploying-ai/pull/<pr_id>. Verify the repository is public and the pull request is visible in a private browser window.
data_limits,Dataset and storage limits,data_limits,"If using a custom dataset, keep files under 40 MB so they can be shared on GitHub. The project uses CSV and JSON files plus Chroma persistence and does not use SQLite. pandas may be used for structured data if needed, but this implementation uses the standard csv module for the small knowledge base."
testing_strategy,Testing strategy,testing,"Test constantly while building. This project includes unit tests for guardrails, routing, and semantic search fallback. Manual UI tests should cover a weather query, a semantic knowledge-base query, a planning query, a prompt-leak attempt, and a restricted-topic attempt."
run_instructions,How to run the app,runbook,"From the repository root, change into ./05_src/assignment_chat and run python app.py. Set OPENAI_API_KEY for the general LLM and function-calling planner. OPENAI_MODEL is optional and defaults to gpt-4o-mini. The API and semantic services still demonstrate locally without an OpenAI key."
no_sqlite,No SQLite decision,data_limits,The assignment asks students not to use SQLite. This implementation avoids SQLite directly. It uses ChromaDB for vector persistence and lightweight CSV/JSON files for shareable project data.
